RepRapFirmware height map file v2 generated at 2020-08-12 12:59, min error -0.546, max error 0.380, mean -0.068, deviation 0.308
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,235.00,10.00,195.00,-1.00,26.25,23.12,9,9
  0.380,  0.269,  0.153,  0.001, -0.126, -0.259, -0.416, -0.546,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0,      0,      0,      0,      0,      0,      0,      0,      0
