RepRapFirmware height map file v2 generated at 2020-08-02 13:14, min error -0.090, max error 0.100, mean 0.020, deviation 0.036
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,235.00,10.00,195.00,-1.00,26.25,23.12,9,9
  0.005,  0.013,  0.002,  0.015, -0.020, -0.013, -0.018, -0.060, -0.090
 -0.018,  0.020,  0.020,  0.010, -0.020, -0.015,  0.005, -0.025, -0.085
 -0.023,  0.033,  0.043,  0.033, -0.008,  0.000,  0.018, -0.013, -0.053
 -0.020,  0.020,  0.013,  0.020, -0.008,  0.018,  0.025,  0.015, -0.030
 -0.005,  0.013,  0.005,  0.013,  0.020,  0.028,  0.033,  0.025, -0.003
  0.005,  0.023,  0.015,  0.033,  0.005,  0.028,  0.040,  0.035,  0.007
  0.007,  0.040,  0.055,  0.065,  0.018,  0.050,  0.080,  0.070,  0.025
  0.023,  0.048,  0.065,  0.067,  0.020,  0.062,  0.087,  0.082,  0.033
  0.020,  0.065,  0.062,  0.062,  0.050,  0.100,  0.092,  0.070,  0.048
